epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1202.71,0.55666,0.90712,1.14377,0.80594,0.79065,0.85154,0.69531,0.60123,0.81249,1.21417,6.87568e-05,6.87568e-05,6.87568e-05
41,1232,0.55275,0.89145,1.13816,0.83804,0.75169,0.84796,0.7053,0.57362,0.79951,1.19053,6.7648e-05,6.7648e-05,6.7648e-05
42,1261.05,0.55092,0.89486,1.14322,0.85245,0.76313,0.84294,0.69667,0.5749,0.81158,1.19138,6.65392e-05,6.65392e-05,6.65392e-05
43,1290.06,0.55693,0.88934,1.13725,0.8339,0.78112,0.84536,0.69985,0.56626,0.80063,1.18543,6.54304e-05,6.54304e-05,6.54304e-05
44,1319.33,0.5601,0.88774,1.1451,0.86377,0.7397,0.84567,0.70317,0.54685,0.79367,1.16489,6.43216e-05,6.43216e-05,6.43216e-05
45,1348.58,0.54337,0.86741,1.13438,0.82777,0.77868,0.8458,0.6991,0.57544,0.79763,1.18868,6.32128e-05,6.32128e-05,6.32128e-05
46,1377.68,0.55368,0.85677,1.13486,0.79925,0.79231,0.84176,0.70723,0.5794,0.76653,1.18844,6.2104e-05,6.2104e-05,6.2104e-05
47,1406.92,0.54417,0.85478,1.12984,0.82325,0.78011,0.84894,0.70589,0.56436,0.76642,1.17585,6.09952e-05,6.09952e-05,6.09952e-05
48,1436.28,0.55462,0.8557,1.14329,0.83617,0.77349,0.83588,0.69377,0.55867,0.77225,1.17718,5.98864e-05,5.98864e-05,5.98864e-05
49,1465.39,0.54297,0.83797,1.13,0.832,0.78758,0.84029,0.69755,0.56568,0.76269,1.18016,5.87776e-05,5.87776e-05,5.87776e-05
50,1494.57,0.53008,0.82993,1.12248,0.79986,0.79663,0.84658,0.70485,0.5688,0.7561,1.18988,5.76688e-05,5.76688e-05,5.76688e-05
51,1523.73,0.5377,0.8342,1.12394,0.84692,0.76368,0.85592,0.71341,0.56606,0.74561,1.1822,5.656e-05,5.656e-05,5.656e-05
52,1552.74,0.52909,0.82065,1.12136,0.84034,0.76158,0.84919,0.70346,0.55806,0.76487,1.18474,5.54512e-05,5.54512e-05,5.54512e-05
53,1581.55,0.53277,0.82724,1.12086,0.86471,0.7659,0.85224,0.70443,0.56252,0.73921,1.18667,5.43424e-05,5.43424e-05,5.43424e-05
54,1610.61,0.55151,0.82866,1.13266,0.85353,0.78217,0.85503,0.7068,0.579,0.75057,1.19193,5.32336e-05,5.32336e-05,5.32336e-05
55,1639.66,0.53921,0.81635,1.12599,0.85455,0.78144,0.86298,0.70227,0.58321,0.76973,1.1984,5.21248e-05,5.21248e-05,5.21248e-05
56,1668.7,0.52761,0.81134,1.11884,0.81905,0.79177,0.84775,0.70629,0.57221,0.74466,1.18691,5.1016e-05,5.1016e-05,5.1016e-05
57,1697.77,0.53195,0.8113,1.12375,0.84865,0.75301,0.85325,0.71226,0.55393,0.75014,1.16383,4.99072e-05,4.99072e-05,4.99072e-05
58,1727.28,0.52518,0.7939,1.11476,0.83258,0.77974,0.84718,0.70419,0.55205,0.7577,1.16681,4.87984e-05,4.87984e-05,4.87984e-05
59,1756.38,0.5273,0.81691,1.12308,0.82989,0.79701,0.85778,0.71101,0.55904,0.74622,1.17623,4.76896e-05,4.76896e-05,4.76896e-05
60,1785.54,0.52122,0.80471,1.11659,0.82955,0.78967,0.84476,0.70252,0.55585,0.77294,1.17147,4.65808e-05,4.65808e-05,4.65808e-05
61,1814.73,0.51579,0.76826,1.10772,0.84667,0.78007,0.85459,0.71056,0.57097,0.76048,1.18676,4.5472e-05,4.5472e-05,4.5472e-05
62,1843.93,0.52508,0.79483,1.11926,0.806,0.80139,0.85836,0.71124,0.57285,0.74475,1.18908,4.43632e-05,4.43632e-05,4.43632e-05
63,1872.98,0.52565,0.79375,1.11765,0.83491,0.79368,0.85969,0.70966,0.57579,0.7508,1.19434,4.32544e-05,4.32544e-05,4.32544e-05
64,1902.09,0.52022,0.78437,1.11312,0.79921,0.8196,0.86048,0.71183,0.56881,0.7451,1.18061,4.21456e-05,4.21456e-05,4.21456e-05
65,1931.53,0.50892,0.76287,1.10515,0.87005,0.77663,0.86024,0.71165,0.56623,0.72946,1.17717,4.10368e-05,4.10368e-05,4.10368e-05
66,1961.07,0.51087,0.76434,1.10408,0.83023,0.81291,0.86121,0.70883,0.5723,0.73496,1.18166,3.9928e-05,3.9928e-05,3.9928e-05
67,1990.51,0.51427,0.78531,1.10699,0.84674,0.79726,0.8635,0.71112,0.56368,0.71759,1.18703,3.88192e-05,3.88192e-05,3.88192e-05
68,2019.93,0.50879,0.75681,1.10426,0.86103,0.79305,0.86419,0.71296,0.55901,0.71943,1.18388,3.77104e-05,3.77104e-05,3.77104e-05
69,2049.45,0.51703,0.76617,1.113,0.82771,0.81615,0.86145,0.70725,0.56403,0.7223,1.17915,3.66016e-05,3.66016e-05,3.66016e-05
70,2078.61,0.50816,0.74904,1.10929,0.83101,0.80304,0.8618,0.70904,0.55409,0.73947,1.17178,3.54928e-05,3.54928e-05,3.54928e-05
71,2107.93,0.51726,0.75775,1.10989,0.84172,0.8042,0.85889,0.71308,0.5581,0.73126,1.17965,3.4384e-05,3.4384e-05,3.4384e-05
72,2137.24,0.50795,0.75642,1.1018,0.86432,0.76358,0.85472,0.70047,0.56514,0.72662,1.18753,3.32752e-05,3.32752e-05,3.32752e-05
73,2166.24,0.50438,0.73987,1.09873,0.81725,0.83104,0.85983,0.70834,0.57122,0.73879,1.18564,3.21664e-05,3.21664e-05,3.21664e-05
74,2195,0.51081,0.75713,1.10797,0.85133,0.78276,0.86152,0.71285,0.56369,0.72998,1.1824,3.10576e-05,3.10576e-05,3.10576e-05
75,2224.05,0.50352,0.74966,1.09774,0.82958,0.80784,0.86553,0.71345,0.56409,0.71486,1.17794,2.99488e-05,2.99488e-05,2.99488e-05
76,2253.5,0.50706,0.73845,1.09685,0.81019,0.83608,0.86362,0.72157,0.5591,0.70754,1.17335,2.884e-05,2.884e-05,2.884e-05
77,2282.54,0.5039,0.73815,1.10465,0.83624,0.80702,0.86578,0.71714,0.55889,0.7297,1.17339,2.77312e-05,2.77312e-05,2.77312e-05
78,2311.69,0.5067,0.73489,1.10531,0.85988,0.79036,0.86431,0.72156,0.55946,0.72376,1.17414,2.66224e-05,2.66224e-05,2.66224e-05
79,2341.38,0.49506,0.73037,1.09518,0.82388,0.81566,0.86616,0.71904,0.56423,0.71648,1.18552,2.55136e-05,2.55136e-05,2.55136e-05
80,2370.97,0.5099,0.75567,1.102,0.83649,0.80966,0.86522,0.72587,0.54718,0.71484,1.16725,2.44048e-05,2.44048e-05,2.44048e-05
81,2400.26,0.4985,0.72473,1.09982,0.85459,0.78233,0.85647,0.71698,0.55606,0.7266,1.1777,2.3296e-05,2.3296e-05,2.3296e-05
82,2429.87,0.50228,0.74614,1.09452,0.80202,0.82798,0.85808,0.71851,0.55274,0.72466,1.17744,2.21872e-05,2.21872e-05,2.21872e-05
83,2459.38,0.51165,0.75126,1.1147,0.8117,0.80856,0.85851,0.71798,0.55505,0.71961,1.17568,2.10784e-05,2.10784e-05,2.10784e-05
84,2488.5,0.5008,0.74074,1.10559,0.84256,0.79824,0.86033,0.71731,0.55418,0.71671,1.17941,1.99696e-05,1.99696e-05,1.99696e-05
85,2517.52,0.49288,0.73161,1.09518,0.88182,0.76105,0.86166,0.71883,0.55601,0.71494,1.17746,1.88608e-05,1.88608e-05,1.88608e-05
86,2546.78,0.49521,0.7284,1.09886,0.84436,0.78739,0.85974,0.71736,0.55837,0.71372,1.18139,1.7752e-05,1.7752e-05,1.7752e-05
87,2576.03,0.49674,0.73422,1.09255,0.82688,0.8016,0.8604,0.71739,0.56108,0.71235,1.18109,1.66432e-05,1.66432e-05,1.66432e-05
88,2605.19,0.48549,0.71475,1.08972,0.8579,0.77719,0.86427,0.71707,0.55576,0.71732,1.17562,1.55344e-05,1.55344e-05,1.55344e-05
89,2634.36,0.48442,0.70794,1.09451,0.86915,0.776,0.86781,0.7224,0.55868,0.71388,1.17891,1.44256e-05,1.44256e-05,1.44256e-05
90,2663.64,0.49356,0.71386,1.09295,0.84699,0.79076,0.86516,0.72017,0.5605,0.71124,1.18396,1.33168e-05,1.33168e-05,1.33168e-05
91,2694.06,0.36983,0.57617,1.02609,0.83753,0.79989,0.8587,0.70123,0.59041,0.73235,1.22738,1.2208e-05,1.2208e-05,1.2208e-05
92,2723,0.36159,0.54796,1.02122,0.83621,0.80566,0.86295,0.70821,0.58059,0.72818,1.2144,1.10992e-05,1.10992e-05,1.10992e-05
93,2751.57,0.35889,0.54158,1.0197,0.83317,0.80511,0.86369,0.70854,0.57033,0.71679,1.20351,9.9904e-06,9.9904e-06,9.9904e-06
94,2780.37,0.35969,0.53765,1.02024,0.82993,0.79747,0.86377,0.70811,0.5674,0.71972,1.19811,8.8816e-06,8.8816e-06,8.8816e-06
95,2808.73,0.35876,0.53966,1.0183,0.83265,0.80522,0.86185,0.70461,0.56658,0.71274,1.20514,7.7728e-06,7.7728e-06,7.7728e-06
96,2837.58,0.36237,0.53482,1.01915,0.84838,0.79078,0.86285,0.70347,0.56628,0.70988,1.20043,6.664e-06,6.664e-06,6.664e-06
97,2866.23,0.35271,0.5234,1.01287,0.84435,0.79543,0.86077,0.70575,0.56949,0.70949,1.2039,5.5552e-06,5.5552e-06,5.5552e-06
98,2894.96,0.35291,0.51866,1.0139,0.8472,0.79335,0.86055,0.70502,0.57235,0.71292,1.20659,4.4464e-06,4.4464e-06,4.4464e-06
99,2923.71,0.35173,0.51325,1.00508,0.84369,0.79529,0.85809,0.70502,0.56723,0.7089,1.20319,3.3376e-06,3.3376e-06,3.3376e-06
100,2952.51,0.34749,0.51342,1.00826,0.84707,0.80232,0.85937,0.70392,0.57259,0.71479,1.2064,2.2288e-06,2.2288e-06,2.2288e-06
