                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.96227,                 1.0433,                 1.3648,                0.54266,                0.63139,                0.60761,                0.43916,                 1.4118,                 1.9123,                 1.9351,             0.00051777,             0.00051777,             0.00051777
                     35,                0.90746,                 1.0074,                 1.3309,                0.65432,                0.54128,                0.63764,                0.46467,                 1.3304,                 1.5901,                 1.8811,             0.00051015,             0.00051015,             0.00051015
                     36,                0.94126,                 1.0099,                 1.3466,                 0.5392,                0.61294,                0.66808,                0.48107,                 1.2752,                 1.5936,                 1.8584,             0.00050254,             0.00050254,             0.00050254
                     37,                0.90758,                 1.0126,                 1.3183,                 0.6134,                0.59033,                0.68299,                0.49958,                 1.2946,                 1.4962,                 1.8089,             0.00049493,             0.00049493,             0.00049493
                     38,                0.88833,                0.94502,                 1.3258,                0.59196,                0.60267,                0.66712,                0.48644,                 1.2793,                 1.7444,                 1.7914,             0.00048732,             0.00048732,             0.00048732
                     39,                 0.9035,                0.96929,                 1.3177,                0.75985,                0.54736,                0.63117,                0.44529,                  1.301,                 1.4619,                 1.8652,              0.0004797,              0.0004797,              0.0004797
                     40,                0.88259,                0.94404,                 1.3051,                0.77068,                0.53214,                0.64296,                0.47569,                 1.3383,                 1.6255,                 1.8654,             0.00047209,             0.00047209,             0.00047209
                     41,                0.89552,                0.95251,                 1.3187,                0.63852,                0.61642,                0.69382,                0.51399,                 1.3736,                 1.8927,                 1.9047,             0.00046448,             0.00046448,             0.00046448
                     42,                0.87815,                0.95561,                 1.3244,                0.66539,                0.56513,                 0.6569,                0.49203,                 1.2396,                 1.5459,                 1.7975,             0.00045686,             0.00045686,             0.00045686
                     43,                 0.8709,                0.93523,                 1.3169,                0.59652,                 0.6065,                 0.6345,                0.43305,                 1.3838,                 1.6754,                 1.9011,             0.00044925,             0.00044925,             0.00044925
                     44,                0.84924,                0.91949,                 1.2842,                0.66352,                0.58497,                0.68225,                0.48546,                  1.304,                 1.4359,                 1.8032,             0.00044164,             0.00044164,             0.00044164
                     45,                0.84353,                0.90048,                 1.2785,                0.68183,                0.62532,                0.68874,                0.50909,                 1.2897,                 1.4181,                 1.7947,             0.00043402,             0.00043402,             0.00043402
                     46,                0.83649,                0.85668,                 1.2985,                   0.57,                0.62123,                0.66228,                0.50153,                 1.2912,                 1.5774,                 1.8151,             0.00042641,             0.00042641,             0.00042641
                     47,                0.83542,                0.85851,                 1.2519,                0.74483,                0.62153,                0.67067,                0.48306,                 1.3606,                 1.7431,                 1.9292,              0.0004188,              0.0004188,              0.0004188
                     48,                0.83349,                0.84179,                 1.2695,                0.63272,                0.59261,                0.66002,                0.45847,                 1.3545,                 1.4189,                 1.9193,             0.00041118,             0.00041118,             0.00041118
                     49,                0.84918,                  0.849,                 1.2816,                0.63861,                0.59394,                0.67527,                0.48635,                 1.2907,                 1.4148,                 1.8198,             0.00040357,             0.00040357,             0.00040357
                     50,                 0.7854,                0.80716,                 1.2481,                0.75125,                0.57406,                 0.7058,                0.52522,                 1.3442,                 1.5357,                 1.8557,             0.00039596,             0.00039596,             0.00039596
                     51,                0.86941,                0.87001,                 1.3093,                0.79529,                0.56622,                0.66613,                0.50147,                 1.2949,                 1.5602,                 1.8123,             0.00038835,             0.00038835,             0.00038835
                     52,                0.80503,                0.82306,                 1.2379,                0.66298,                0.65211,                 0.7062,                0.53049,                  1.265,                 1.4257,                 1.7685,             0.00038073,             0.00038073,             0.00038073
                     53,                0.78903,                0.78361,                 1.2477,                0.59426,                0.62092,                0.68515,                0.49675,                 1.2974,                 1.4768,                 1.8115,             0.00037312,             0.00037312,             0.00037312
                     54,                0.78514,                0.75616,                  1.243,                0.53387,                0.67143,                 0.6698,                0.49892,                 1.2881,                 1.5581,                 1.8137,             0.00036551,             0.00036551,             0.00036551
                     55,                0.79479,                0.79698,                 1.2432,                0.68501,                0.56257,                0.67723,                0.51418,                 1.2876,                 1.4546,                 1.8039,             0.00035789,             0.00035789,             0.00035789
                     56,                0.79719,                0.78118,                 1.2329,                0.65445,                0.64445,                0.70562,                0.53936,                 1.2394,                 1.4419,                 1.7832,             0.00035028,             0.00035028,             0.00035028
                     57,                0.78424,                0.74604,                 1.2385,                 0.7014,                0.57195,                0.68935,                0.50745,                 1.2492,                 1.3718,                  1.822,             0.00034267,             0.00034267,             0.00034267
                     58,                 0.7854,                0.75271,                 1.2296,                0.59028,                0.70572,                0.67892,                0.49462,                 1.2514,                 1.4742,                 1.7732,             0.00033505,             0.00033505,             0.00033505
                     59,                0.76995,                0.71991,                 1.2359,                0.79197,                0.64391,                0.70125,                0.52441,                 1.2638,                 1.3797,                 1.8062,             0.00032744,             0.00032744,             0.00032744
                     60,                0.78146,                0.75487,                 1.2375,                0.66669,                0.63707,                 0.6984,                0.54759,                 1.2119,                 1.4483,                 1.7285,             0.00031983,             0.00031983,             0.00031983
                     61,                0.74864,                0.72897,                 1.2004,                 0.7734,                0.58635,                0.69286,                0.51033,                 1.2346,                 1.4627,                 1.7715,             0.00031221,             0.00031221,             0.00031221
                     62,                0.74545,                0.70252,                 1.2116,                0.81534,                0.60085,                0.70033,                0.53319,                 1.1946,                 1.3985,                 1.7187,              0.0003046,              0.0003046,              0.0003046
                     63,                 0.7292,                0.73288,                  1.194,                0.65799,                0.65565,                0.71009,                0.55281,                 1.1756,                 1.3598,                 1.7177,             0.00029699,             0.00029699,             0.00029699
                     64,                0.70755,                0.66848,                 1.1847,                0.66012,                0.63574,                0.70183,                0.54087,                 1.2024,                 1.3241,                 1.7432,             0.00028937,             0.00028937,             0.00028937
                     65,                0.72233,                0.67872,                 1.2105,                0.71992,                0.63419,                0.71756,                0.54801,                 1.1915,                 1.4213,                 1.7315,             0.00028176,             0.00028176,             0.00028176
                     66,                0.71294,                0.69891,                 1.1811,                0.65252,                0.65986,                 0.7026,                0.53719,                  1.225,                 1.4234,                 1.7485,             0.00027415,             0.00027415,             0.00027415
                     67,                0.72253,                0.67559,                 1.1949,                0.61549,                0.64702,                0.70315,                 0.5423,                 1.2017,                 1.2149,                 1.7434,             0.00026654,             0.00026654,             0.00026654
                     68,                0.73488,                 0.6582,                  1.188,                0.70859,                0.66382,                0.73741,                0.55774,                 1.2644,                 1.2117,                 1.7878,             0.00025892,             0.00025892,             0.00025892
                     69,                0.72441,                0.66237,                 1.2042,                0.63557,                 0.6693,                0.70663,                0.53328,                 1.2465,                 1.3331,                 1.7585,             0.00025131,             0.00025131,             0.00025131
                     70,                0.69437,                0.63221,                 1.1867,                0.87651,                0.57281,                0.70559,                0.54008,                 1.2237,                 1.2671,                 1.7709,              0.0002437,              0.0002437,              0.0002437
                     71,                0.71167,                0.65252,                  1.185,                0.63763,                0.68991,                0.71594,                0.55289,                 1.1695,                 1.2843,                 1.6835,             0.00023608,             0.00023608,             0.00023608
                     72,                0.67738,                0.62599,                 1.1592,                0.87036,                0.62123,                0.73442,                0.54857,                 1.2241,                 1.3331,                 1.7834,             0.00022847,             0.00022847,             0.00022847
                     73,                0.69021,                 0.6464,                 1.1704,                0.72394,                0.64157,                0.72451,                0.55601,                 1.2113,                 1.3025,                 1.7319,             0.00022086,             0.00022086,             0.00022086
                     74,                0.68267,                0.61149,                 1.1662,                0.80812,                 0.6908,                 0.7351,                0.56452,                 1.1648,                 1.2318,                 1.7342,             0.00021324,             0.00021324,             0.00021324
                     75,                0.66768,                0.60725,                 1.1549,                0.84363,                0.68677,                0.74267,                0.57853,                 1.1723,                   1.23,                 1.7173,             0.00020563,             0.00020563,             0.00020563
                     76,                0.67349,                0.58979,                 1.1553,                0.63325,                0.69004,                0.72122,                0.55842,                 1.1534,                 1.2507,                 1.6747,             0.00019802,             0.00019802,             0.00019802
                     77,                0.65553,                0.57747,                 1.1431,                0.85412,                0.65632,                0.74029,                0.56754,                 1.1602,                 1.1586,                 1.6992,              0.0001904,              0.0001904,              0.0001904
                     78,                0.65102,                0.57932,                 1.1513,                0.72082,                 0.6345,                0.74715,                0.57634,                  1.134,                 1.1642,                 1.6742,             0.00018279,             0.00018279,             0.00018279
                     79,                0.63522,                0.57075,                  1.132,                0.68293,                0.73442,                0.74341,                0.57086,                 1.1481,                 1.1586,                 1.6859,             0.00017518,             0.00017518,             0.00017518
                     80,                0.63524,                0.57725,                 1.1322,                0.72602,                0.71048,                0.75724,                0.58527,                 1.1586,                 1.2115,                 1.7029,             0.00016757,             0.00016757,             0.00016757
                     81,                0.63071,                0.57378,                 1.1363,                0.74202,                 0.6609,                0.74913,                0.57882,                 1.1491,                 1.1856,                 1.6926,             0.00015995,             0.00015995,             0.00015995
                     82,                0.62998,                0.55871,                 1.1245,                0.70898,                 0.7032,                0.75327,                0.57082,                 1.1826,                 1.1744,                 1.7074,             0.00015234,             0.00015234,             0.00015234
                     83,                0.62156,                0.53072,                 1.1307,                0.72931,                0.67039,                0.73063,                0.54243,                 1.1872,                 1.2439,                 1.7218,             0.00014473,             0.00014473,             0.00014473
                     84,                0.62201,                0.52882,                 1.1185,                0.74513,                0.67841,                0.75289,                 0.5839,                 1.1459,                  1.159,                 1.6984,             0.00013711,             0.00013711,             0.00013711
                     85,                0.62609,                0.54275,                 1.1289,                0.72007,                0.68334,                0.74311,                 0.5746,                 1.1817,                 1.2413,                 1.7349,              0.0001295,              0.0001295,              0.0001295
                     86,                0.62213,                0.56233,                 1.1273,                0.68504,                0.70868,                 0.7501,                0.57454,                 1.1975,                  1.201,                 1.7512,             0.00012189,             0.00012189,             0.00012189
                     87,                0.61183,                0.53633,                 1.1112,                0.68338,                0.70923,                0.73603,                0.56959,                 1.1708,                 1.3471,                 1.7435,             0.00011427,             0.00011427,             0.00011427
                     88,                0.58376,                0.52526,                 1.1087,                0.72925,                0.68429,                0.76073,                0.58553,                 1.1594,                 1.2438,                 1.7144,             0.00010666,             0.00010666,             0.00010666
                     89,                0.59265,                0.50522,                 1.1022,                0.72288,                0.73489,                 0.7722,                0.59324,                 1.1218,                 1.1089,                 1.6921,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                0.58143,                0.52004,                 1.0974,                0.71029,                0.72045,                0.76678,                0.59471,                 1.1461,                 1.1169,                 1.7092,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                0.45781,                0.37954,                 1.0071,                0.73689,                0.67653,                0.75806,                0.59691,                 1.1381,                 1.1426,                 1.7177,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                0.43548,                0.35056,                0.99757,                0.73531,                0.67403,                0.74718,                0.58789,                 1.1257,                 1.2112,                 1.7201,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                0.43404,                0.34503,                0.99908,                0.74902,                0.65602,                0.74762,                0.59301,                 1.1039,                  1.146,                 1.6849,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                 0.4272,                0.32045,                0.98648,                0.69952,                  0.702,                0.74377,                0.58615,                 1.1072,                 1.1952,                 1.6782,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.42855,                 0.3153,                0.98653,                0.74023,                0.69044,                0.75396,                0.59654,                 1.1224,                 1.1723,                 1.7006,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                 0.4139,                0.31938,                0.98043,                0.71806,                0.71186,                0.74637,                0.58345,                 1.1102,                  1.208,                 1.6901,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                0.40461,                0.31713,                0.96733,                0.73863,                0.71586,                0.75103,                0.59025,                 1.1129,                 1.1714,                  1.706,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.40157,                0.31332,                 0.9716,                0.74764,                 0.7178,                0.75591,                0.59686,                  1.103,                 1.1063,                 1.6911,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                0.41497,                0.32435,                0.99022,                0.75019,                0.72383,                0.76089,                0.60022,                  1.109,                 1.0742,                 1.7001,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    100,                0.38539,                0.30421,                0.95985,                0.76473,                0.71922,                0.76153,                0.59755,                 1.1171,                 1.0753,                   1.71,             1.5303e-05,             1.5303e-05,             1.5303e-05
